,Age,Candidate,Criminal_Case,District,Education,Party,State,Winner,Year,Liabilities_num,Assets_num
1350,56,Ashok Kumar,0,FATEHPUR,12th Pass,Janhit Bharat Party,UTTAR PRADESH,No,2019,0,3273573
1351,61,Beni Prasad,0,FATEHPUR,Graduate,IND,UTTAR PRADESH,No,2019,0,300000
1352,44,Juber Ahmad,0,FATEHPUR,12th Pass,IND,UTTAR PRADESH,No,2019,243387,2708670
1353,36,Kamta Prasad,0,FATEHPUR,12th Pass,IND,UTTAR PRADESH,No,2019,0,238000
1354,42,Mahesh Chandra Sahu,0,FATEHPUR,Graduate,Pragatishil Samajwadi Party (Lohia),UTTAR PRADESH,No,2019,11191125,30086078
1355,40,Rajkumar,0,FATEHPUR,Graduate,Vikas Insaf Party,UTTAR PRADESH,No,2019,0,30000
1356,63,Rakesh Sachan,8,FATEHPUR,Post Graduate,INC,UTTAR PRADESH,No,2019,67794880,350670770
1357,68,Ram Kumar,0,FATEHPUR,Graduate,Peoples Party of India (Democratic),UTTAR PRADESH,No,2019,387000,3586000
1358,64,Lallu Singh,1,FAIZABAD,Post Graduate,BJP,UTTAR PRADESH,Yes,2019,11276478,31884642
1359,55,Anand Sen,8,FAIZABAD,12th Pass,SP,UTTAR PRADESH,No,2019,1560431,43920899
1360,25,Asha Devi,0,FAIZABAD,12th Pass,Lok Dal,UTTAR PRADESH,No,2019,0,67265
1361,62,Sukhdev Prasad,0,FATEHPUR,8th Pass,BSP,UTTAR PRADESH,No,2019,4500729,74544921
1362,45,Rekha Verma,3,DHAURAHRA,12th Pass,BJP,UTTAR PRADESH,Yes,2019,7095916,24735488
1363,48,Anil Kumar,0,DHAURAHRA,Post Graduate,Bahujan Awam Party,UTTAR PRADESH,No,2019,0,1767409
1364,63,Arshad Iliyas Siddiqui,7,DHAURAHRA,10th Pass,BSP,UTTAR PRADESH,No,2019,176677024,524986176
1365,33,Baljeet Kaur,0,DHAURAHRA,Literate,Hindusthan Nirman Dal,UTTAR PRADESH,No,2019,0,2131000
1366,68,Dr. Chandra Sen Jadon,0,FIROZABAD,Graduate Professional,BJP,UTTAR PRADESH,Yes,2019,0,42872395
1367,32,Akshay Yadav,0,FIROZABAD,Graduate Professional,SP,UTTAR PRADESH,No,2019,50358593,321157801
1368,43,Kamlesh Tiwari,8,FAIZABAD,Graduate,IND,UTTAR PRADESH,No,2019,0,672000
1369,34,Kanchan Yadav,0,FAIZABAD,Post Graduate,Moulik Adhikar Party,UTTAR PRADESH,No,2019,1200000,3474829
1370,55,Lal Mani Tripathi (Bhai Sahab),0,FAIZABAD,Post Graduate,IND,UTTAR PRADESH,No,2019,0,8741915
1371,42,Kunwar Jitin Prasada,0,DHAURAHRA,Post Graduate,INC,UTTAR PRADESH,No,2019,0,121801005
1372,76,Malkhan Singh Rajpoot,0,DHAURAHRA,5th Pass,Pragatishil Samajwadi Party (Lohia),UTTAR PRADESH,No,2019,0,11450000
1373,59,Mukesh Kumar,0,DHAURAHRA,12th Pass,SHS,UTTAR PRADESH,No,2019,0,89065
1374,41,Reetu Verma,1,DHAURAHRA,Graduate,IND,UTTAR PRADESH,No,2019,0,8210000
1375,42,Chaudhary Basheer,10,FIROZABAD,8th Pass,IND,UTTAR PRADESH,No,2019,1654024,27548145
1376,47,Rajveer,0,FIROZABAD,10th Pass,IND,UTTAR PRADESH,No,2019,0,175385
1377,64,Shivpal Singh Yadav,0,FIROZABAD,Graduate Professional,Pragatishil Samajwadi Party (Lohia),UTTAR PRADESH,No,2019,12918796,99833148
1378,0,Upendra Singh Rajput,0,FIROZABAD,Graduate Professional,Bharatiya Kisan Parivartan Party,UTTAR PRADESH,No,2019,0,2006000
1379,46,Mahesh Tiwari,0,FAIZABAD,Post Graduate,SHS,UTTAR PRADESH,No,2019,1534016,21813345
1380,28,Manoj Kumar Mishra,0,FAIZABAD,12th Pass,IND,UTTAR PRADESH,No,2019,0,1575000
1381,68,Nirmal Khatri,3,FAIZABAD,Doctorate,INC,UTTAR PRADESH,No,2019,409256,14459169
1382,45,Rajbahadur Urf Rajan Pandey,0,FAIZABAD,12th Pass,IND,UTTAR PRADESH,No,2019,500000,28366730
1383,34,Sharad Kumar,0,FAIZABAD,Graduate,IND,UTTAR PRADESH,No,2019,0,788716
1384,44,Sher Afgan,0,FAIZABAD,10th Pass,Bharat Prabhat Party,UTTAR PRADESH,No,2019,0,10228866
